id|title|credits|department|prerequisites|description
AS1152|Themes in U.S. History|4|American Studies||The course is an introduction to major issues in the history of the United States, from colonial times to the twentieth century. Topics may include: the origins of slavery and racism; industrialization and the growth of cities and suburbs; the growth of the American empire; movements for social change. Offered every semester.
AS1282|Introduction to African American Studies|4|American Studies||This is an introductory course in the themes and issues relevant to the inter-disciplinary field of African-American studies. Topics include: the origins and development of slavery and racism; African-American contributions to U.S. history; major African-American writers, artists, and thinkers; movements for political, racial, and economic equality. Offered occasionally.
AS1512|Introduction to Women’s Studies|4|American Studies||Explores the development of women’s lives, from childhood through adolescence to maturity. Focuses on the family, school, sexuality, and career options, and how these experiences and choices are affected by race, class, religion, ethnic origin, and gender. Readings include fiction, autobiography, history, and social science. Offered every semester.
AS2020|New Media|4|American Studies||This is an introductory course in the themes and issues relevant to the inter-disciplinary field of African-American studies. Topics include: the origins and development of slavery and racism; African-American contributions to U.S. history; major African-American writers, artists, and thinkers; movements for political, racial, and economic equality. Offered occasionally.
AS2112|American People 1|4|American Studies|EC 1|History of the American people to 1877, which emphasizes the diverse experiences and perspectives of women, people of color, working people, and other historically marginalized groups. Topics include the American Revolution and the Constitution, the origins and development of slavery, the development of Northern capitalism, territorial expansion and displacement of Native Americans, and the conflicts which led to the Civil War. Novels and films supplement more traditional texts. Offered every semester.
AS2122|American People 2|4|American Studies|EC 1|History of the American people, 1865 to present, which emphasizes the diverse experiences and perspectives of women, people of color, working people, and other historically marginalized groups. Topics include Reconstruction, the Industrial Revolution and the growth of the corporation, the creation of the working class, World Wars and American expansion, Progressivism, the Depression and the New Deal, the rise of industrial unionism, the Cold War, and the Civil Rights movement and new challenges emerging with the rise of global capitalism. Novels and films supplement more traditional texts. Offered every semester.
AS2202|Contemporary U.S. Society|4|American Studies|EC 1|An introduction to social, economic and political stratification in the United States. Sources and consequences of inequality are explored through an examination of educational, political, and occupational structures. Offered every year.
AS2252|U.S. Social Movements|4|American Studies|EC 1|This course explores the causal conditions, nature, and impact of progressive social movements in America. Varying sets of activist biographies and social movement histories related either by period or theme will be selected for study. Possible topics include the abolition, temperance, feminist, peace, labor, civil rights, reproductive rights, and environmental movements. Offered occasionally.
AS2262|African American history 1|4|American Studies|EC 1|This course examines the experiences of African Americans in the development of America from the Trans-Atlantic slave trade through the Civil War. Topics include plantation slavery, politics, economics, cultural production, gender and intellectual pursuits. Emphasis on major movements and figures as well as ordinary indvidiuals. Offered every year.

BS1000|Plants and Society|4|Biological Sciences||A one semester lecture/laboratory course in general botany for non-science majors. The course covers the principles of plant anatomy and physiology, as well as the impact of plants and agriculture on society. Topics covered include the use and history of plants as food, medicines, and poisons.
BS2100|Biology for Non-science Majors|4|Biological Sciences|EC 2|A one-semester lecture/laboratory course in general biology for non-science majors. Surveys the major concepts and principles of biology, including cell structure and function, genetics, ecology, diversity and evolution. Topics related to the human experience are also discussed. Offered every semester.
BS2300|Anatomy and Physiology 1 Lecture|3|Biological Sciences|EC 2; MA1020|This is the first semester of a two-semester sequence in which human anatomy and physiology are studied using a body systems approach, with emphasis on the interrelationships between form and function at the gross and microscopic levels of organization. This course is a pre-requirement for students pursuing a career in the Allied Health Sciences, e.g. nursing and physician assistant. Topics include: basic anatomical and directional terminology, fundamental concepts and principles of cell biology, histology, and the integumentary, skeletal, muscular, and nervous systems.
BS2301|Anatomy and Physiology 1 Laboratory|1|Biological Sciences|EC 2; MA1020|This course is the laboratory component for BS2300. This course is a pre-requisite for students pursuing a career in the Allied-Health Sciences, e.g. nursing and physician assistant. It covers the study of anatomical and directional terminology, fundamental concepts and principles of cell biology, histology, and the integumentary, skeletal, muscular, and nervous systems using experimental approaches, modeling and the use preserved mammalian organisms.
BS2310|Anatomy and Physiology 2 Lecture|3|Biological Sciences|BS2300|This is the second semester of a two-semester sequence in which human anatomy and physiology are studied using a body systems approach, with emphasis on the inter- relationships between form and function at the gross and microscopic levels of organization. This course is a pre-requisite for students pursuing a career in the Allied- Health Sciences, e.g. nursing and physician assistant. Topics include: the endocrine system, the cardiovascular system, the lymphatic system and immunity, the respiratory system, the digestive system, metabolism,the urinary system, fluid/electrolyte and acid/base balance; and the reproductive systems.
BS2311|Anatomy and Physiology 2 Laboratory|1|Biological Sciences|BS2300; BS2301|This course is the laboratory component for BS2310 Anatomy and Physiology II and is a pre-requisite for students pursuing a career in the Allied-Health Sciences, e.g. nursing and physician assistant. Topics include: the endocrine system, the cardiovascular system, the lymphatic system and immunity, the respiratory system, the digestive system, metabolism, the urinary system, fluid/electrolyte and acid/base balance; and the reproductive systems. These topics will be covered using an experimental approach complemented with modeling, and the use of preserved mammalian organisms as well as models.
BS2400-BS2401|Basic Biology 1|4|Biological Sciences|EC 2; MA1020|Lecture/Laboratory first semester of freshman biology courses covering content areas including molecular and cellular biology, genetics, genomics and evolution. These courses are offered every semester.
